PCA Suite run log — generated 2026-04-23T11:19:53
Total logged entries: 54
======================================================================
[2026-04-23T11:15:12] OK  [2/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | RAW
[2026-04-23T11:15:17] OK  [4/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION
[2026-04-23T11:15:23] OK  [6/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | SNV
[2026-04-23T11:15:28] OK  [8/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | SECOND DERIVATIVE
[2026-04-23T11:15:33] OK  [10/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | EMSC
[2026-04-23T11:15:38] OK  [12/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+EMSC
[2026-04-23T11:15:43] OK  [14/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | SNV+SECOND DERIVATIVE
[2026-04-23T11:15:49] OK  [16/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV
[2026-04-23T11:15:54] OK  [18/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV+SECOND DERIVATIVE
[2026-04-23T11:16:00] OK  [20/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | RAW
[2026-04-23T11:16:05] OK  [22/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | NORMALIZATION
[2026-04-23T11:16:10] OK  [24/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | SNV
[2026-04-23T11:16:16] OK  [26/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | SECOND DERIVATIVE
[2026-04-23T11:16:21] OK  [28/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | EMSC
[2026-04-23T11:16:26] OK  [30/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | NORMALIZATION+EMSC
[2026-04-23T11:16:31] OK  [32/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | SNV+SECOND DERIVATIVE
[2026-04-23T11:16:37] OK  [34/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | NORMALIZATION+SNV
[2026-04-23T11:16:42] OK  [36/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | NORMALIZATION+SNV+SECOND DERIVATIVE
[2026-04-23T11:16:48] OK  [38/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | RAW
[2026-04-23T11:16:53] OK  [40/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION
[2026-04-23T11:16:58] OK  [42/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | SNV
[2026-04-23T11:17:03] OK  [44/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | SECOND DERIVATIVE
[2026-04-23T11:17:08] OK  [46/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | EMSC
[2026-04-23T11:17:13] OK  [48/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+EMSC
[2026-04-23T11:17:18] OK  [50/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | SNV+SECOND DERIVATIVE
[2026-04-23T11:17:23] OK  [52/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV
[2026-04-23T11:17:28] OK  [54/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV+SECOND DERIVATIVE
[2026-04-23T11:17:33] OK  [56/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | RAW
[2026-04-23T11:17:38] OK  [58/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | NORMALIZATION
[2026-04-23T11:17:43] OK  [60/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | SNV
[2026-04-23T11:17:48] OK  [62/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | SECOND DERIVATIVE
[2026-04-23T11:17:53] OK  [64/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | EMSC
[2026-04-23T11:17:58] OK  [66/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | NORMALIZATION+EMSC
[2026-04-23T11:18:03] OK  [68/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | SNV+SECOND DERIVATIVE
[2026-04-23T11:18:08] OK  [70/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | NORMALIZATION+SNV
[2026-04-23T11:18:13] OK  [72/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | NORMALIZATION+SNV+SECOND DERIVATIVE
[2026-04-23T11:18:18] OK  [74/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | RAW
[2026-04-23T11:18:23] OK  [76/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION
[2026-04-23T11:18:28] OK  [78/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | SNV
[2026-04-23T11:18:33] OK  [80/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | SECOND DERIVATIVE
[2026-04-23T11:18:37] OK  [82/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | EMSC
[2026-04-23T11:18:42] OK  [84/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+EMSC
[2026-04-23T11:18:47] OK  [86/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | SNV+SECOND DERIVATIVE
[2026-04-23T11:18:52] OK  [88/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV
[2026-04-23T11:18:56] OK  [90/108] TRIM_700_2800 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV+SECOND DERIVATIVE
[2026-04-23T11:19:01] OK  [92/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | RAW
[2026-04-23T11:19:06] OK  [94/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | NORMALIZATION
[2026-04-23T11:19:11] OK  [96/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | SNV
[2026-04-23T11:19:16] OK  [98/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | SECOND DERIVATIVE
[2026-04-23T11:19:20] OK  [100/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | EMSC
[2026-04-23T11:19:25] OK  [102/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | NORMALIZATION+EMSC
[2026-04-23T11:19:30] OK  [104/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | SNV+SECOND DERIVATIVE
[2026-04-23T11:19:35] OK  [106/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | NORMALIZATION+SNV
[2026-04-23T11:19:40] OK  [108/108] TRIM_700_2800 | WEIGHTS__BOX12_ALL | NORMALIZATION+SNV+SECOND DERIVATIVE
